	Poblacion
1	20851354
2	20946710
3	21090605
4	21183382
5	21226635
6	21057369
7	21110816
8	21175850
9	21175465
10	21246288
11	21213754
12	20999648
13	20574623
14	20660673
15	20672913
16	20064773
17	19419526
18	19368611
19	19360979
20	19316145
21	19497816
22	19613737
23	19783219
24	19681361
25	19507681
26	19571654
27	19820197
28	19919107
29	20050476
30	20085753
31	20135739
32	20332328
33	20526962
34	20691745
35	20725122
36	20561553
37	20290628
38	19673646
39	29477994
40	20102228
41	20836713
42	21060043
43	21086979
44	21219273
45	21390848
46	21524729
47	21526986
48	21308399
